Hot Peppers,,,,
Ingredients,,,,
Manufacturers,,,,
Recipes,,,,
Cultivars,,,,
Reviews,,,,
Flavors,,,,
Hot Pepper Common Name ↕,Avg SHU ↕,# of Recipes ↕,Origin Country,Cultivar
7-Pot Barrackpore Pepper,"11,50,000",0,Trinidad and Tobago,Capsicum Chinense
7-Pot Brain Strain Pepper,"11,75,000",0,Trinidad and Tobago,
7-Pot Brown (Chocolate) Pepper,"13,26,698",0,Trinidad and Tobago,
7-Pot Bubblegum Pepper,"9,25,000",1,Trinidad and Tobago,
7-Pot Chaguanas Pepper,"9,00,000",0,Trinidad and Tobago,
7-Pot Chili Pepper,N/A,5,Trinidad and Tobago,
7-Pot Chocolate Douglah Pepper,N/A,2,Trinidad and Tobago,
7-Pot Douglah Pepper,"13,88,763",4,Trinidad and Tobago,
7-Pot Infinity Pepper,"11,76,182",0,Trinidad and Tobago,
7-Pot Madballz Pepper,"10,00,000",0,Trinidad and Tobago,
7-Pot Primo Chile Powder Pepper,N/A,2,Trinidad and Tobago,
7-Pot Primo Pepper Mash,N/A,3,Trinidad and Tobago,
7-Pot Primo Peppers,N/A,3,Trinidad and Tobago,
7-Pot Rennie Pepper,"14,00,000",1,Trinidad and Tobago,
7-Pot Sr Strain Pepper,"11,75,000",0,Trinidad and Tobago,
Abbraccio Pepper,"15,000",0,,Capsicum Annuum
Abchazskij Ostruyi Pepper,"30,000",0,Georgia,Capsicum Annuum
Achar Pepper,"1,500",0,India,Capsicum Annuum
Aci Sivri Pepper,"12,500",0,Turkey,Capsicum Annuum
Aconcagua Pepper,0,0,United States of America,Capsicum Annuum
Adjuma Pepper,"2,25,000",0,Brazil,Capsicum Chinense
Afega Curta Pepper,"15,000",0,,
Afega Longa Pepper,"30,000",0,,
African Bird's Eye Pepper,"1,75,000",1,Ethiopia,Capsicum Annuum
African Birds Eye Pepper (Peri-Peri),"1,12,500",2,South Africa,Capsicum Frutescens
African Oleoresin Pepper,N/A,5,South Africa,
Aged Cayenne Peppers,"40,000",8,French Guiana,Capsicum Annuum
Aged Cayenne Peppers (Red),"40,000",14,French Guiana,Capsicum Annuum
Aged Pepper Mash,N/A,2,,
Aged Peppers (Generic),N/A,10,,
Aged Pickled Scorpion Pepper,N/A,1,Trinidad and Tobago,Capsicum Chinense
Aged Red Habanero Chillies Pepper,N/A,1,Brazil,
Aged Red Habanero Peppers,"2,25,000",6,Brazil,
Aged Red Peppers,N/A,25,Hungary,Capsicum Annuum
Agua Blanca Pepper,"1,000",0,Mexico,Capsicum Annuum
Aji Amarillo Pepper,N/A,2,Peru,Capsicum Baccatum
Aji Andina Pepper,"2,500",0,,
Aji Bento Pepper,"15,500",0,,
Aji Brazilian Pumpkin Pepper,"20,000",0,Brazil,Capsicum Baccatum
Aji Caballero Pepper,"30,000",0,Puerto Rico,Capsicum Baccatum
Aji Carmine Peppers,"30,000",0,Peru,Capsicum Chinense
Aji Charapita Pepper,"40,000",1,Peru,Capsicum Chinense
Aji Chombo Pepper,"2,50,000",0,Panama,Capsicum Chinense
Aji Chuncho Pepper,0,0,Peru,Capsicum Frutescens
Aji Cito Pepper,"1,08,000",0,Peru,Capsicum Baccatum
Aji Cobincho Pepper,"15,000",0,Bolivia,Capsicum Exile
Aji Colorado Pepper,"20,000",0,Bolivia,Capsicum Baccatum
Aji Criolla Sella Pepper,"30,000",0,Bolivia,Capsicum Baccatum
Aji Crystal Pepper,"50,000",0,Chile,Capsicum Baccatum
Aji Dulce Pepper,"1,000",0,,Capsicum Chinense
Aji Escabeche Pepper,"17,000",0,Bolivia,Capsicum Baccatum
Aji Habanero Pepper,"2,500",0,Brazil,
Aji Limon (Lemon Drop) Pepper,"40,000",1,Peru,Capsicum Baccatum
Aji Mirasol Pepper,"1,400",0,Peru,Capsicum Baccatum
Aji Omnicolor Pepper,"40,000",0,Peru,Capsicum Baccatum
Aji Panca Chile Powder Pepper,100,2,Peru,Capsicum Baccatum
Aji Panca Pepper,"1,250",1,Peru,Capsicum Baccatum
Aji Pepper,"40,000",0,,Capsicum Baccatum
Aji Pineapple Pepper,"20,000",0,Peru,Capsicum Baccatum
Aji Rojo Pepper,"1,00,000",0,Peru,Capsicum Baccatum
Akabare Pepper,"50,000",0,Nepal,Capsicum Chinense
Aladdin Pepper,0,0,United States of America,Capsicum Annuum
Alcalde Pepper,"2,500",0,United States of America,Capsicum Annuum
Aleppo Pepper,"10,000",2,Syria,Capsicum Annuum
Alma Paprika Pepper,"2,500",0,Hungary,Capsicum Annuum
Alma Spicy Paprika Pepper,"10,000",0,Hungary,Capsicum Annuum
Amazon Pepper,N/A,1,,Capsicum Chinense
Amazon Pepper (Red),"40,000",0,,Capsicum Chinense
Ametista Pepper,"1,000",0,Brazil,Capsicum Annuum
Ammazzo Pepper,"2,500",0,Italy,Capsicum Annuum
Anaheim Pepper,"1,500",4,Mexico,Capsicum Annuum
Ancho Chiles Pepper,"1,250",8,Mexico,Capsicum Annuum
Ancho Chili Powder Pepper,N/A,3,Mexico,Capsicum Annuum
Ancho Pepper,"1,500",11,Mexico,Capsicum Annuum
Ancho San Luis Pepper,"4,000",0,Mexico,Capsicum Annuum
Andhra Guntur Sannam Pepper,"37,500",0,India,
Apache Pepper,"90,000",0,,Capsicum Annuum
Apollo Pepper,"30,00,000",1,United States of America,
